Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
24 San Luis Potosí,2010,91.44,8.26,1260366,1325152,25,247057,270154,548,269673,219720,189105,180250,82850,152372,131221,268914,112519,87476,72960,56671,50213,34695,23325,13437,4303,1824,NA,NA,2077738,162010,52404,1650510,935008,2585518,NA,NA
24 San Luis Potosí,2015,92.8854536513,8.8199952104,NA,NA,26.212116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0392226,23.202567,NA,NA,NA,NA,NA,NA,NA,NA
24 San Luis Potosí,2020,94.7864127515,9.6131274013,1372451,1449804,29,230931,252780,460,253797,232129,220964,204288,90728,180174,169453,242727,153736,125766,107635,82236,63157,45985,32252,18927,8052,2895,1.9607370702,NA,2218856,253567,113148,1896806,925449,2822255,12951.215891427384,47819.3872047597
25 Sinaloa,1995,NA,NA,1216415,1209260,21,281823,282968,335,283114,254765,195551,169208,74295,120409,97272,283285,79839,62917,50727,37861,28195,18345,11668,6781,2358,1151,NA,NA,NA,NA,NA,1615623,810052,2425675,NA,NA
25 Sinaloa,2000,91.960858852,7.6,1264143,1272701,22,280226,282780,459,267418,240944,211879,182741,79430,140257,108884,293365,91022,72198,60539,43760,32080,22153,13422,7860,2930,1379,NA,NA,1946228,112820,159628,1710402,826442,2536844,NA,NA
25 Sinaloa,2005,NA,8.5,1294617,1313825,25,244907,275179,411,256624,220179,196928,197089,85905,154173,130129,262539,107972,84875,71711,53783,38183,26535,16422,9116,3405,1432,NA,NA,NA,NA,NA,1846736,761706,2608442,NA,NA
25 Sinaloa,2010,94.37,9.08,1376201,1391560,26,252443,270555,418,275540,242907,207840,207002,102184,176453,149915,264538,131472,103936,83594,64032,51023,31659,19463,10809,4102,1625,NA,NA,2111461,189378,173082,2015767,751994,2767761,NA,NA
25 Sinaloa,2015,95.2319484853,9.5813252594,NA,NA,27.247141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0387011,12.831551,NA,NA,NA,NA,NA,NA,NA,NA
25 Sinaloa,2020,96.3287169189,10.2235084211,1494815,1532128,30,236236,260172,403,261581,256990,232316,215491,100764,204309,192589,250496,172094,143385,123628,95056,70677,49051,30957,15827,5997,1923,1.3940136963,NA,2196411,256629,332150,2292232,734711,3026943,16045.740243411658,55834.3957470862
26 Sonora,1995,NA,NA,1048933,1036603,22,239515,225173,183,225130,219665,180457,159506,70923,108710,85758,233167,69920,55615,45734,34319,24339,15612,8887,4846,1536,701,NA,NA,NA,NA,NA,1698393,387143,2085536,NA,NA
26 Sonora,2000,95.4962930176,8.2,1110590,1106379,23,244619,228055,291,218530,210638,195388,172782,76116,131251,99234,246494,80037,61747,52615,38990,28081,19133,10430,5569,1964,872,NA,NA,1718889,131781,85207,1842117,374852,2216969,NA,NA
